pedido;dataVencimento;cliente;email;telefone;produto;cpf;cnpj;razaoSocial
386759;01/05/24;Eugenio Cervantes de Arantes;mailreceiverjafs@gmail.com;(82) 92225-8155;Certificado eCNPJ A1;24828122249;43394746000130;Eugenio Cervantes de Arantes
513571;11/05/24;Elisete Flavia Aragao Cordeiro da Paixao;mailreceiverjafs@gmail.com;(82) 92528-9771;Certificado eCNPJ A1;63344429370;11738158000180;Elisete Flavia Aragao Cordeiro da Paixao
704282;29/05/24;Eleriane Vanda Cordeiro Solano de Moura;mailreceiverjafs@gmail.com;(82) 93158-2582;Certificado eCNPJ A1;25724457270;5776756000140;Eleriane Vanda Cordeiro Solano de Moura
833630;04/04/24;Jacomo Cortes de Rezende;mailreceiverjafs@gmail.com;(82) 92553-6566;Certificado eCNPJ A1;87725656839;43653826000162;Jacomo Cortes de Rezende
399149;29/06/24;Altair Edu de Fontes;mailreceiverjafs@gmail.com;(82) 92230-2139;Certificado eCNPJ A1;75376160602;48496365000185;Altair Edu de Fontes
851070;17/06/24;Karl Roberto de Brito;mailreceiverjafs@gmail.com;(82) 93894-3634;Certificado eCNPJ A1;35745914467;52543658000143;Karl Roberto de Brito
262915;01/06/24;Bete D'avila Godoi;mailreceiverjafs@gmail.com;(82) 93195-5642;Certificado eCNPJ A1;21653458984;11334458000101;Bete D'avila Godoi
966689;17/04/24;Carolina Amelia de Burgos;mailreceiverjafs@gmail.com;(82) 93437-2772;Certificado eCNPJ A1;52440781517;6277315000167;Carolina Amelia de Burgos
271001;19/05/24;Daniela Zulmira Feliciano Verdugo da Silva;mailreceiverjafs@gmail.com;(82) 92983-6901;Certificado eCNPJ A1;83812215365;48204123000170;Daniela Zulmira Feliciano Verdugo da Silva
461695;13/06/24;Maria Marinho Maia;mailreceiverjafs@gmail.com;(82) 93173-3530;Certificado eCNPJ A1;31226138403;64712353000105;Maria Marinho Maia
763733;14/05/24;Julia Furtado Rosa;mailreceiverjafs@gmail.com;(82) 93101-5766;Certificado eCNPJ A1;37653377815;74073363000193;Julia Furtado Rosa
709143;26/05/24;Martinho Mariano Cortes Jimenes Maciel;mailreceiverjafs@gmail.com;(82) 92873-7478;Certificado eCNPJ A1;36483376294;36554423000109;Martinho Mariano Cortes Jimenes Maciel
840641;17/06/24;Clara Matilde Fidalgo de Pereira;mailreceiverjafs@gmail.com;(82) 92577-4458;Certificado eCNPJ A1;65119369294;43225260000178;Clara Matilde Fidalgo de Pereira
122952;22/05/24;Leandro Leonardo Garcia Pontes de Palhares;mailreceiverjafs@gmail.com;(82) 92058-4246;Certificado eCNPJ A1;72234238382;34032274000184;Leandro Leonardo Garcia Pontes de Palhares
524857;22/04/24;Clara Martines Maia;mailreceiverjafs@gmail.com;(82) 92848-1587;Certificado eCNPJ A1;83331584398;44314957000188;Clara Martines Maia
399784;26/05/24;Emilio Grego de Madeira;mailreceiverjafs@gmail.com;(82) 92889-7281;Certificado eCNPJ A1;33275281526;81442514000107;Emilio Grego de Madeira
619750;02/05/24;Amalia Larissa Galindo Maia;mailreceiverjafs@gmail.com;(82) 92319-2824;Certificado eCNPJ A1;25025972183;62340382000150;Amalia Larissa Galindo Maia
563978;21/06/24;Eleonora Evelyn de Dominato;mailreceiverjafs@gmail.com;(82) 93162-1153;Certificado eCNPJ A1;44155266245;49411087000189;Eleonora Evelyn de Dominato
877810;12/06/24;Rosana Yeda Ferminiano de Serra;mailreceiverjafs@gmail.com;(82) 93488-1536;Certificado eCNPJ A1;87351702632;78383236000141;Rosana Yeda Ferminiano de Serra
342638;22/04/24;Agustina Felicia Carrara de Malta;mailreceiverjafs@gmail.com;(82) 92135-8896;Certificado eCNPJ A1;33823307258;70415466000133;Agustina Felicia Carrara de Malta
466497;24/06/24;Oseas Ferraz Jangada;mailreceiverjafs@gmail.com;(82) 92541-3682;Certificado eCNPJ A1;3166469540;95264034000108;Oseas Ferraz Jangada
604652;06/04/24;Helder Dias Neto;mailreceiverjafs@gmail.com;(82) 93716-4309;Certificado eCNPJ A1;35143951526;17533001000102;Helder Dias Neto
605544;30/06/24;Barnabe Tomaz Ferreira Madeira;mailreceiverjafs@gmail.com;(82) 93703-6867;Certificado eCNPJ A1;93923454457;11868577000136;Barnabe Tomaz Ferreira Madeira
385793;10/06/24;Antonieta Valentina Dominato Franco de Matos;mailreceiverjafs@gmail.com;(82) 92712-2053;Certificado eCNPJ A1;75130478126;78526620000156;Antonieta Valentina Dominato Franco de Matos
913493;17/05/24;Clara Mares de Holanda;mailreceiverjafs@gmail.com;(82) 93793-5582;Certificado eCNPJ A1;13842388403;63297374000130;Clara Mares de Holanda
976942;07/05/24;Ashley Samila Barreto Faro de Arruda;mailreceiverjafs@gmail.com;(82) 92268-7067;Certificado eCNPJ A1;51083468405;65017783000161;Ashley Samila Barreto Faro de Arruda
717651;23/06/24;Marina Colaco Espada;mailreceiverjafs@gmail.com;(82) 92468-2992;Certificado eCNPJ A1;35764258880;40374677000104;Marina Colaco Espada
981073;21/04/24;Boris Hilton Azevedo Gil do Amaral;mailreceiverjafs@gmail.com;(82) 93742-8674;Certificado eCNPJ A1;74181344797;39382776000159;Boris Hilton Azevedo Gil do Amaral
518015;05/05/24;Luara Faro Marques;mailreceiverjafs@gmail.com;(82) 93385-4514;Certificado eCNPJ A1;75843785360;84232365000131;Luara Faro Marques
142168;20/06/24;Jose Colaco de Tamoio;mailreceiverjafs@gmail.com;(82) 92319-4246;Certificado eCNPJ A1;77674356795;72445482000102;Jose Colaco de Tamoio
331036;06/04/24;Thiago Campos;mailreceiverjafs@gmail.com;(82) 93675-8789;Certificado eCNPJ A1;26533861433;72674705000103;Thiago Campos
352123;24/04/24;Amalia Delvalle de Escobar;mailreceiverjafs@gmail.com;(82) 92761-1783;Certificado eCNPJ A1;31883843278;22748871000120;Amalia Delvalle de Escobar
871360;10/05/24;Simon Pablo Fernandes de Quintana;mailreceiverjafs@gmail.com;(82) 92528-4138;Certificado eCNPJ A1;69255741420;96685149000120;Simon Pablo Fernandes de Quintana
204138;15/04/24;Aldo Artur Faro de Pedrosa;mailreceiverjafs@gmail.com;(82) 93471-3112;Certificado eCNPJ A1;62640763334;17051637000100;Aldo Artur Faro de Pedrosa
795425;30/04/24;Francielle Hellen Avila de Marinho;mailreceiverjafs@gmail.com;(82) 92560-9502;Certificado eCNPJ A1;76674178225;58568167000133;Francielle Hellen Avila de Marinho
528978;19/06/24;Clara Espinoza de Valencia;mailreceiverjafs@gmail.com;(82) 92251-3254;Certificado eCNPJ A1;45258151247;80853246000145;Clara Espinoza de Valencia
561773;14/04/24;Catarina Jeniffer Barreto Martines de Brandao;mailreceiverjafs@gmail.com;(82) 93378-9863;Certificado eCNPJ A1;58760915536;62631545000153;Catarina Jeniffer Barreto Martines de Brandao
104661;21/06/24;Amanda Margarete Delatorre de Grego;mailreceiverjafs@gmail.com;(82) 92874-6077;Certificado eCNPJ A1;8674659217;64658571000109;Amanda Margarete Delatorre de Grego
769507;01/06/24;Ayrton Faro de Ortega;mailreceiverjafs@gmail.com;(82) 93434-5880;Certificado eCNPJ A1;26548764110;52228933000134;Ayrton Faro de Ortega
682098;19/05/24;Cibele Yasmin Escobar Molina de Fraga;mailreceiverjafs@gmail.com;(82) 92430-1265;Certificado eCNPJ A1;48821363171;82418045000145;Cibele Yasmin Escobar Molina de Fraga
494146;20/04/24;Aaron Marin Neto;mailreceiverjafs@gmail.com;(82) 92093-5786;Certificado eCNPJ A1;16846662448;25024217000162;Aaron Marin Neto
666529;21/04/24;Guilherme Charles Cruz de Godoi;mailreceiverjafs@gmail.com;(82) 93356-8012;Certificado eCNPJ A1;85358894500;4157416000179;Guilherme Charles Cruz de Godoi
625955;11/04/24;Francisco Rivaldo Duarte de Torres;mailreceiverjafs@gmail.com;(82) 92021-0372;Certificado eCNPJ A1;53479322360;38235747000100;Francisco Rivaldo Duarte de Torres
983653;12/04/24;Renata Rosana Lutero Camara;mailreceiverjafs@gmail.com;(82) 93535-9660;Certificado eCNPJ A1;98455406780;27886125000117;Renata Rosana Lutero Camara
